vi	en
(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)	horizontal
sừng (trâu, bò...)	horn
điều kinh khủng, sự ghê rợn	horror
ngựa	horse
bệnh viện, nhà thương	hospital
chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị....)	host
nóng, nóng bức	hot
khách sạn	hotel
giờ	hour
nhà, căn nhà, toàn nhà	house
nơi ăn chốn ở	housing
hộ, gia đình; (thuộc) gia đình	household
thế nào, như thế nào, làm sao, ra sao	how
tuy nhiên, tuy vậy, dù thế nào	however
to lớn, khổng lồ	huge
(thuộc) con người, loài người	human
hài hước, hóm hỉnh	humorous
sự hài hước, sự hóm hỉnh	humour
đó	hungry
săn, đi săn	hunt
sự đi săn	hunting
sự vội vàng, sự gấp rút	hurry
làm bị thương, gây thiệt hại	hurt
người chồng	husband
băng, nước đá	ice
kem	ice
ý tưởng, quan niệm	idea
(thuộc) quan niệm, tư tưởng; lý tưởng	ideal
lý tưởng, đúng như lý tưởng	ideally
nhận biết, nhận ra, nhận dạng	identify
cá tính, nét nhận dạng; tính đồng nhất, giống hệt	identity
abbr. nghĩa là, tức là ( Id est)	i.e.
nếu, nếu như	if
phớt lờ, tỏ ra không biết đến	ignore
ốm	ill
trái luật, bất hợp pháp	illegal
trái luật, bất hợp pháp	illegally
sự đau yếu, ốm, bệnh tật	illness
minh họa, làm rõ ý	illustrate
ảnh, hình ảnh	image
tưởng tượng, ảo	imaginary
trí tưởng tượng, sự tưởng tượng	imagination
tưởng tượng, hình dung; tưởng rằng, cho rằng	imagine
lập tức, tức thì	immediate
ngay lập tức	immediately
trái đạo đức, luân lý; xấu xa	immoral
sự và chạm, sự tác động, ảnh hưởng	impact
thiếu kiên nhẫn, nóng vội	impatient
nóng lòng, sốt ruột	impatiently
sự lôi kéo, sự liên can, điều gợi ý	implication
ngụ ý, bao hàm	imply
import sự nhập, sự nhập khẩu; nhập, nhập khẩu	import
sự quan trọng, tầm quan trọng	importance
quan trọng, hệ trọng	important
quan trọng, trọng yếu	importantly
khônh quan trọng, không trọng đại	unimportant
đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng	impose
không thể làm được, không thể xảy ra	impossible
ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động	impress
được ghi, khắc, in sâu vào	impressed
ấn tượng, cảm giác; sự in, đóng dấu	impression
gấy ấn tượng mạnh; hùng vĩ, oai vệ	impressive
cải thiện, cái tiến, mở mang	improve
sự cái thiện, sự cải tiến, sự mở mang	improvement
ở, tại, trong; vào	in
sự bất lực, bất tài	inability
insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)	inch
việc xảy ra, việc có liên quan	incident
bao gồm, tính cả	include
bao gồm, kể cả	including
lợi tức, thu nhập	income
or/'inkri:s/ tăng, tăng thêm; sự tăng, sự tăng thêm	increase
tăng thêm	increasingly
thật vậy, quả thật	indeed
sự độc lập, nền độc lập	independence
độc lập	independent
độc lập	independently
chỉ số, sự biểu thị	index
chỉ, cho biết; biểu thị, trình bày ngắn gọn	indicate
sự chỉ, sự biểu thị, sự biểu lộ	indication
gián tiếp	indirect
gián tiếp	indirectly
riêng, riêng biệt; cá nhân	individual
ở trong nhà	indoors
trong nhà	indoor
(thuộc) công nghiệp, kỹ nghệ	industrial
công nghiệp, kỹ nghệ	industry
không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe	inevitable
chắc chắn	inevitably
nhiễm, tiêm nhiễm, đầu độc, lan truyền	infect
bị nhiễm, bị đầu độc	infected
sự nhiễm, sự đầu độc	infection
lây, nhiễm	infectious
sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động	influence
báo cho biết, cung cấp tin tức	inform
không chính thức, không nghi thức	informal
tin tức, tài liệu, kiến thức	information
phần hợp thành, thành phần	ingredient
ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)	initial
vào lúc ban đầu, ban đầu	initially
bước đầu, sự khởi đầu	initiative
làm tổn thương, làm hại, xúc phạm	injure
bị tổn thương, bị xúc phạm	injured
sự làm tổn thương, làm hại; điều hại, điều tổn hại	injury
mực	ink
ở trong, nội bộ; thân cận	inner
vô tội, trong trắng, ngây thơ	innocent
sự điều tra, sự thẩm vấn)	(enquiry
sâu bọ, côn trùng	insect
chèn vào, lồng vào	insert
mặt trong, phía, phần trong; ở trong, nội bộ	inside
cứ nhất định, cứ khăng khăng	insist
đặt (hệ thống máy móc, thiết bị...)	install
thí dị, ví dụ; trường hợp cá biệt	instance
để thay thế	instead
viện, học viện	institute
sự thành lập, lập; cơ quan, trụ sở	institution
sự dạy, tài liệu cung cấp	instruction
dụng cụ âm nhạc khí	instrument
lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục	insult
lăng mạ, xỉ nhục	insulting
sự bảo hiểm	insurance
sự hiểu biết, trí thông minh	intelligence
thông minh, sáng trí	intelligent
ý định, có ý định	intend
có ý định, có dụng ý	intended
ý định, mục đích	intention
or /ˈɪntrest/ sự thích thú, sự quan tâm, chú ý; làm quan tâm, làm chú ý	interest
làm thích thú, làm quan tâm, làm chú ý	interesting
có thích thú, có quan tâm, có chú ý	interested
phần trong, phía trong; ở trong, ở phía trong	interior
ở trong, bên trong, nội địa	internal
quốc tế	international
liên mạng	internet
giải thích	interpret
sự giải thích	interpretation
làm gián đoạn, ngắt lời	interrupt
sự gián đoạn, sự ngắt lời	interruption
khoảng (k-t.gian), khoảng cách	interval
cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng	interview
or /'intə/ vào, vào trong	into
giới thiệu	introduce
sự giới thiệu, lời giới thiệu	introduction
phát minh, sáng chế	invent
sự phát minh, sự sáng chế	invention
đầu tư	invest
điều tra, nghiên cứu	investigate
sự điều tra, nghiên cứu	investigation
sự đầu tư, vốn đầu tư	investment
lời mời, sự mời	invitation
mời	invite
bao gồm, bao hàm; thu hút, dồn tâm trí	involve
sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào	involvement
sắt; bọc sắt	iron
làm phát cáu, chọc tức	irritate
làm phát cáu, chọc tức	irritating
tức giận, cáu tiết	irritated
hòn đảo	island
sự phát ra, sự phát sinh; phát hành, đưa ra	issue
cái đó, điều đó, con vật đó	it
của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó	its
tin tức; khoản.., món..., tiết mục	item
chính cái đó, chính điều đó, chính con vật đó	itself
áo vét	jacket
mứt	jam
tháng giêng	January
ghen,, ghen tị	jealous
quần bò, quần zin	jeans
thạch	jelly
nữ trang, kim hoàn	jewellery
việc, việc làm	job
gia nhập, tham gia; nối, chắp, ghép	join
chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối	joint
cùng nhau, cùng chung	jointly
trò cười, lời nói đùa; nói đùa, giễu cợt	joke
nhà báo	journalist
cuộc hành trình (đường bộ); quãng đường, chặng đường đi	journey
niềm vui, sự vui mừng	joy
xét xử, phân xử; quan tòa, thẩm phán	judge
sự xét xử	judgement
nước ép (rau, củ, quả)	juice
tháng 7	July
nhảy; sự nhảy, bước nhảy	jump
tháng 6	June
trẻ hơn, ít tuổi hơn; người ít tuổi hơn	junior
đúng, vừa đủ; vừa mới, chỉ	just
sự công bằng	justice
bào chữa, biện hộ	justify
hợp lý, được chứng minh là đúng	justified
sắc, bén	keen
giữ, giữ lại	keep
chìa khóa, khóa, thuộc (khóa)	key
bàn phím	keyboard
đá; cú đá	kick
con dê non	kid
giết, tiêu diệt	kill
sự giết chóc, sự tàn sát	killing
Kilôgam	kilogram
Kilômet	kilometre
loại, giống; tử tế, có lòng tốt	kind
tử tế, tốt bụng	kindly
độc ác, tàn nhẫn	unkind
sự tử tế, lòng tốt	kindness
vua, quốc vương	king
hôn, cái hôn	kiss
bếp	kitchen
Kilômet	kilometre
đầu gối	knee
con dao	knife
đan, thêu	knit
được đan, được thêu	knitted
việc đan; hàng dệt kim	knitting
đánh, đập; cú đánh	knock
cái nơ; điểm nút, điểm trung tâm	knot
biết	know
không biết	unknown
nổi tiếng, được nhiều người biết đến	well
sự hiểu biết, tri thức	knowledge
lít	litre
nhãn, mác; dán nhãn, ghi mác	label
phòng thí nghiệm	laboratory,
lao động; công việc	labour
sự thiếu; thiếu	lack
ngu đần, ngây ngô	lacking
người yêu, vợ, quý bà, tiểu thư	lady
hồ	lake
đèn	lamp
đất, đất canh tác, đất đai	land
phong cảnh	landscape
đường nhỏ (làng, hẻm phố)	lane
ngôn ngữ	language
rộng, lớn, to	large
phong phú, ở mức độ lớn	largely
lầm cuối, sau cùng; người cuối cùng; cuối cùng, rốt hết; kéo dài	last
trễ, muộn	late
chậm hơn	later
muộn nhất, chậm nhất, gần đây nhất	latest
sau cùng, gần đây, mới đây	latter
cười; tiếng cười	laugh
hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phầm	launch
luật	law
luật sư	lawyer
xếp, đặt, bố trí	lay
lớp	layer
lười biếng	lazy
v., n. lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn	lead
lãnh đạo, dẫn đầu	leading
người lãnh đạo, lãnh tụ	leader
lá cây, lá (vàng...)	leaf
liên minh, liên hoàn	league
nghiêng, dựa, ỷ vào	lean
học, nghiên cứu	learn
tối thiểu; ít nhất	least
da thuộc	leather
bỏ đi, rời đi, để lại	leave
bài diễn thuyết, bài thuyết trình, bài nói chuyện	lecture
bên trái; về phía trái	left
chân (người, thú, bàn...)	leg
hợp pháp	legal
hợp pháp	legally
quả chanh	lemon
cho vay, cho mượn	lend
chiều dài, độ dài	length
nhỏ bé, ít hơn; số lượng ít hơn	less
bài học	lesson
cho phép, để cho	let
thư; chữ cái, mẫu tự	letter
trình độ, cấp, vị trí; bằng, ngang bằng	level
thư viện	library
bằng, chứng chỉ, bằng cử nhân; sự cho phép	licence
cấp chứng chỉ, cấp bằng, cho phép	license
nắp, vung (xoong, nồi..); mi mắt (eyelid)	lid
nói dối; lời nói dối, sự dối trá	lie
đời, sự sống	life
giơ lên, nhấc lên; sự nâng, sự nhấc lên	lift
ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng	light
nhẹ nhàng	lightly
giống như; thích; như	like
khác, không giống	unlike
có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy	likely
không thể xảy ra, không chắc xảy ra	unlikely
giới hạn, ranh giới; giới hạn, hạn chế	limit
hạn chế, có giới hạn	limited
dây, đường, tuyến	line
mắt xích, mối liên lạc; liên kết, kết nối	link
môi	lip
chất lỏng; lỏng, êm ái, du dương, không vững	liquid
danh sách; ghi vào danh sách	list
nghe, lắng nghe	listen
văn chương, văn học	literature
lít	litre
nhỏ, bé, chút ít; không nhiều; một chút	little
nhỏ, một ít	a
sống, hoạt động	live
sống	live
sống, đang sống	living
sống, sinh động	lively
gánh nặng, vật nặng; chất, chở	load
cất gánh nặng, dỡ hàng	unload
sự vay mượn	loan
địa phương, bộ phận, cục bộ	local
có tính chất địa phương, cục bộ	locally
xác định vị trí, định vị	locate
định vị	located
vị trí, sự định vị	location
khóa; khóa	lock
lô gic	logic
hợp lý, hợp logic	logical
cô đơn, bơ vơ	lonely
dài, xa; lâu	long
nhìn; cái nhìn	look
lỏng, không chặt	loose
lỏng lẻo	loosely
Chúa, vua	lord
xe tải	lorry
mất, thua, lạc	lose
thua, mất	lost
sự mất, sự thua	loss
số lượng lớn; rất nhiều	lot:
to, inh ỏi, ầm ĩ; to, lớn (nói)	loud
ầm ĩ, inh ỏi	loudly
tình yêu, lòng yêu thương; yêu, thích	love
đẹp, xinh xắn, có duyên	lovely
người yêu, người tình	lover
thấp, bé, lùn	low
trung thành, trung kiên	loyal
may mắn, vận may	luck
gặp may, gặp may mắn, hạnh phúc	lucky
không gặp may, bất hạnh	unlucky
hành lý	luggage
cục, tảng, miếng; cái bướu	lump
bữa ăn trưa	lunch
phổi	lung
máy, máy móc	machine
máy móc, thiết bị	machinery
điên, mất trí; bực điên người	mad
tạp chí	magazine
ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật	magic
thư từ, bưu kiện; gửi qua bưu điện	mail
chính, chủ yếu, trọng yếu nhất	main
chính, chủ yếu, phần lớn	mainly
giữ gìn, duy trì, bảo vệ	maintain
lớn, nhiều hơn, trọng đại, chủ yếu	major
phần lớn, đa số, ưu thế	majority
làm, chế tạo; sự chế tạo	make
đồ hóa trang, son phấn	make-up
trai, trống, đực; con trai, đàn ông, con trống, đực	male
búa	mall
con người; đàn ông	man
quản lý, trông nom, điều khiển	manage
sự quản lý, sự trông nom, sự điều khiển	management
người quản lý, giám đốc	manager
cách, lối, kiểu; dáng, vẻ, thái độ	manner
	manufacture
sự sản xuất, sự chế tạo	manufacturing
người chế tạo, người sản xuất	manufacturer
nhiều	many
bản đồ	map
tháng ba	March
diễu hành, hành quân; cuộc hành quân, cuộc diễu hành	march
dấu, nhãn, nhãn mác; đánh dấu, ghi dấu	mark
chợ, thị trường	market
ma-kết-tinh	marketing
sự cưới xin, sự kết hôn, lễ cưới	marriage
cưới (vợ), lấy (chồng)	marry
cưới, kết hôn	married
khối, khối lượng; quần chúng, đại chúng	mass
to lớn, đồ sộ	massive
chủ, chủ nhân, thầy giáo, thạc sĩ	master
trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được	match
tính địch thù, thi đấu	matching
bạn, bạn nghề; giao phối	mate
nguyên vật liệu; vật chất, hữu hình	material
toán học, môn toán	mathematics
chất, vật chất; có ý nghĩa, có tính chất quan trọng	matter
cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ	maximum
có thể, có lẽ	may
tháng 5	May
có thể, có lẽ	maybe
thị trưởng	mayor
tôi, tao, tớ	me
bữa ăn	meal
nghĩa, có nghĩa là	mean
ý, ý nghĩa	meaning
của cải, tài sản, phương tiện	means
trong lúc đó, trong lúc ấy	meanwhile
đo, đo lường; sự đo lường, đơn vị đo lường	measure
sự đo lường, phép đo	measurement
thịt	meat
phương tiện truyền thông đại chúng	media
(thuộc) y học	medical
y học, y khoa; thuốc	medicine
trung bình, trung, vừa; sự trung gian, sự môi giới	medium
gặp, gặp gỡ	meet
cuộc mít tinh, cuộc biểu tình	meeting
tan ra, chảy ra; làm tan chảy ra	melt
thành viên, hội viên	member
tư cách hội viên, địa vị hội viên	membership
bộ nhớ, trí nhớ, kỉ niệm	memory
(thuộc) trí tuệ, trí óc; mất trí	mental
về mặt tinh thần	mentally
kể ra, nói đến, đề cập	mention
thực đơn	menu
chỉ là	mere
chỉ, đơn thuần	merely
tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu	mess
tin nhắn, thư tín, điện thông báo, thông điệp	message
kim loại	metal
phương pháp, cách thức	method
mét	metre
trưa, buổi trưa	midday
giữa, ở giữa	middle
nửa đêm, 12h đêm	midnight
qk. may có thể, có lẽ	might
nhẹ, êm dịu, ôn hòa	mild
dặm (đo lường)	mile
(thuộc) quân đội, quân sự	military
sữa	milk
mi-li-gam	milligram
mi-li-met	millimetre
tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm	mind
của tôi	mine
công nhân, thợ mỏ; khoáng	mineral
tối thiểu; số lượng tối thiểu, mức tối thiểu	minimum
bộ trưởng	minister
bộ	ministry
nhỏ hơn, thứ yếu, không quan trọng	minor
phần ít, thiểu số	minority
phút	minute
gương	mirror
lỡ, trượt; sự trượt, sự thiếu vắng	miss
cô gái, thiếu nữ	Miss
vắng, thiếu, thất lạc	missing
lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm	mistake
sai lầm, hiểu lầm	mistaken
pha, trộn lẫn; sự pha trộn	mix
lẫn lộn, pha trộn	mixed
sự pha trộn, sự hỗn hợp	mixture
chuyển động, di động	mobile
(BrE) điện thoại đi động	mobile
mẫu, kiểu mẫu	model
hiện đại, tân tiến	modern
mẹ	mum
chốc, lát	moment
thứ 2	Monday
tiền	money
lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát	monitor
tháng	month
lối, thức, điệu	mood
mặt trăng	moon
(thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức	moral
có đạo đức	morally
hơn, nhiều hơn	more
hơn nữa, ngoài ra, vả lại	moreover
buổi sáng	morning
lớn nhất, nhiều nhất; nhất, hơn cả	most
hầu hết, chủ yếu là	mostly
mẹ	mother
sự chuyển động, sụ di động	motion
động cơ mô tô	motor
xe mô tô	motorcycle
leo, trèo; núi	mount
núi	mountain
chuột	mouse
miệng	mouth
di chuyển, chuyển động; sự di chuyển, sự chuyển động	move
động, hoạt động	moving
sự chuyển động, sự hoạt động; cử động, động tác	movement
phim xi nê	movie
(NAmE) rạp chiếu phim	movie
NAmE, BrE) abbr.	Mr
NAmE, BrE) abbr.	Mrs
NAmE, BrE) abbr.	Ms
nhiều, lắm	much
bùn	mud
nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở	multiply
mẹ	mum
tội giết người, tội ám sát; giết người, ám sát	murder
cơ, bắp thịt	muscle
bảo tàng	museum
nhạc, âm nhạc	music
(thuộc) nhạc, âm nhạc; du dương, êm ái	musical
nhạc sĩ	musician
phải, cần, nên làm	must
của tôi	my
tự tôi, chính tôi	myself
thần bí, huyền bí, khó hiểu	mysterious
điều huyền bí, điều thần bí	mystery
móng (tay, chân) móng vuốt	nail
trần, khỏa thân, trơ trụi	naked
tên; đặt tên, gọi tên	name
hẹp, chật hẹp	narrow
dân tộc, quốc gia	nation
(thuộc) quốc gia, dân tộc	national
(thuộc) tự nhiên, thiên nhiên	natural
vốn, tự nhiên, đương nhiên	naturally
tự nhiên, thiên nhiên	nature
hải quân	navy
gần, cận; ở gần	near
gần	nearby
gần, sắp, suýt	nearly
sạch, ngăn nắp; rành mạch	neat
gọn gàng, ngăn nắp	neatly
cần, cần thiết, thiết yếu	necessary
tất yếu, nhất thiết	necessarily
không cần thiết, không mong muốn	unnecessary
cổ	neck
cần, đòi hỏi; sự cần	need
cái kim, mũi nhọn	needle
phủ định	negative
hàng xóm	neighbour
hàng xóm, làng giềng	neighbourhood
không này mà cũng không kia	neither
cháu trai (con anh, chị, em)	nephew
khí lực, thần kinh, can đảm	nerve
hoảng sợ, dễ bị kích thích, hay lo lắng	nervous
bồn chồn, lo lắng	nervously
tổ, ổ; làm tổ	nest
lưới, mạng	net
mạng lưới, hệ thống	network
không bao giờ, không khi nào	never
tuy nhiên, tuy thế mà	nevertheless
mới, mới mẻ, mới lạ	new
mới	newly
tin, tin tức	news
báo	newspaper
sát, gần, bên cạnh; lần sau, tiếp nữa	next
gần	next
đẹp, thú vị, dễ chịu	nice
thú vị, dễ chịu	nicely
cháu gái	niece
đêm, tối	night
không	no
không ai, không người nào	nobody
tiếng ồn, sự huyên náo	noise
ồn ào, huyên náo	noisy
ồn ào, huyên náo	noisily
không ai, không người, vật gì	none
lời nói vô lý, vô nghĩa	nonsense
cũng không	nor
thường, bình thường; tình trạng bình thường	normal
thông thường, như thường lệ	normally
phía bắc, phương bắc	north
Bắc	northern
mũi	nose
không	not
lời ghi, lời ghi chép; ghi chú, ghi chép	note
không gì, không cái gì	nothing
thông báo, yết thị; chú ý, để ý, nhận biết	notice
đáng chú ý, đáng để ý	noticeable
tiểu thuyết, truyện	novel
tháng 11	November
bây giờ, hiện giờ, hiện nay	now
không nơi nào, không ở đâu	nowhere
(thuộc) hạt nhân	nuclear
số	number
y tá	nurse
quả hạch; đầu	nut
vâng lời, tuân theo, tuân lệnh	obey
vật, vật thể; phản đối, chống lại	object
mục tiêu, mục đích; (thuộc) mục tiêu, khách quan	objective
sự quan sát, sự theo dõi	observation
quan sát, theo dõi	observe
đạt được, giành được	obtain
rõ ràng, rành mạch, hiển nhiên	obvious
một cách rõ ràng, có thể thấy được	obviously
dịp, cơ hội	occasion
thỉnh thoảng, đôi khi	occasionally
giữ, chiếm lĩnh, chiếm giữ	occupy
đang sử dụng, đầy (người)	occupied
xảy ra, xảy đến, xuất hiện	occur
đại dương	ocean
đúng giờ	o’clock
tháng 10	October
kỳ quặc, kỳ cục, lẻ (số)	odd
kỳ quặc, kỳ cục, lẻ (số)	oddly
or /əv/ của	of
tắt; khỏi, cách, rời	off
sự vi phạm, sự phạm tội	offence
xúc phạm, làm bực mình, làm khó chịu	offend
sự tấn công, cuộc tấn công	offensive
biếu, tặng, cho; sự trả giá	offer
cơ quan, văn phòng, bộ	office
viên chức, cảnh sát, sĩ quan	officer
(thuộc) chính quyền, văn phòng; viên chức, công chức	official
một cách trịnh trọng, một cách chính thức	officially
thường, hay, luôn	often
chao, ôi chao, chà, này..	oh
dầu	oil
đồng ý, tán thành	OK
già	old
lỗi thời	old-fashioned
trên, ở trên; tiếp tục, tiếp diễn	on
một lần; khi mà, ngay khi, một khi	once
một; một người, một vật nào đó	one
củ hành	onion
chỉ có 1, duy nhất; chỉ, mới	only
về phía trên, lên trên	onto
mở, ngỏ; mở, bắt đầu, khai mạc	open
công khai, thẳng thắn	openly
khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành	opening
hoạt động, điều khiển	operate
sự hoạt động, quá trình hoạt động	operation
ý kiến, quan điểm	opinion
địch thủ, đối thủ, kẻ thù	opponent
cơ hội, thời cơ	opportunity
đối kháng, đối chọi, đối lập; chống đối, phản đối	oppose
tính đối kháng, đối chọi	opposing
chống lại, phản đối	opposed
đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược	opposite
sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập	opposition
sự lựa chọn	option
quả cam; có màu da cam	orange
thứ, bậc; ra lệnh	order
thường, thông thường	ordinary
đàn óoc gan	organ
tổ chức, cơ quan; sự tổ chức	organization
tổ chức, thiết lập	organize
có trật tự, ngăn nắp, được sắp xếp, được tổ chức	organized
gốc, nguồn gốc, căn nguyên	origin
(thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản	original
một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên	originally
khác	other
khác, cách khác; nếu không thì...; mặt khác	otherwise
phải, nên, hẳn là	ought
của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình	our
của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình	ours
bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình	ourselves
ngoài, ở ngoài, ra ngoài	out
ở ngoài trời, ở ngoài nhà	outdoors
ngoài trời, ở ngoài	outdoor
outer ở phía ngoài, ở xa hơn	outer
vẽ, phác tảo; đường nét, hình dáng, nét ngoài	outline
sự sản xuất; sản phẩm, sản lượng	output
bề ngoài, bên ngoài; ở ngoài; ngoài	outside
nổi bật, đáng chú ý; còn tồn lại	outstanding
lò (nướng)	oven
bên trên, vượt qua; lên, lên trên	over
toàn bộ, toàn thể; tất cả, bao gồm	overall
thắng, chiến thắng, khắc phục, đánh bại (khó khăn)	overcome
nợ, hàm ơn; có được (cái gì)	owe
của chính mình, tự mình; nhận, nhìn nhận	own
người chủ, chủ nhân	owner
bước chân, bước	pace
gói, bọc; bó, gói	pack
gói đồ, bưu kiện; đóng gói, đóng kiện	package
bao bì	packaging
gói nhỏ	packet
trang (sách)	page
sự đau đớn, sự đau khổ	pain
đau đớn, đau khổ	painful
sơn, vôi màu; sơn, quét sơn	paint
sự sơn; bức họa, bức tranh	painting
họa sĩ	painter
đôi, cặp	pair
cung điện, lâu đài	palace
taí, nhợt	pale
xoong, chảo	pan
ván ô (cửa, tường), pa nô	panel
quần lót, đùi	pants
giấy	paper
song song, tương đương	parallel
cha, mẹ	parent
công viên, vườn hoa; khoanh vùng thành công viên	park
nghi viện, quốc hội	parliament
phần, bộ phận	part
riêng biệt, cá biệt	particular
một cách đặc biệt, cá biệt, riêng biệt	particularly
đến chừng mực nào đó, phần nào đó	partly
đối tác, cộng sự	partner
sự chung phần, sự cộng tác	partnership
tiệc, buổi liên hoan; đảng	party
qua, vượt qua, ngang qua	pass
sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi	passing
sự đi qua, sự trôi qua; hành lang	passage
hành khách	passenger
hộ chiếu	passport
quá khứ, dĩ vãng; quá, qua	past
đường mòn; hướng đi	path
tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng	patience
bệnh nhân; kiên nhẫn, nhẫn nại, bền chí	patient
mẫu, khuôn mẫu	pattern
tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng	pause
trả, thanh toán, nộp; tiền lương	pay
sự trả tiền, số tiền trả, tiền bồi thường	payment
hòa bình, sự hòa thuận	peace
hòa bình, thái bình, yên tĩnh	peaceful
lưỡi trai; đỉnh, chóp	peak
bút	pen
đồng xu	pence
đồng xu	penny
bút chì	pencil
số tiền	penny
tiền trợ cấp, lương hưu	pension
dân tộc, dòng giống; người	people
hạt tiêu, cây ớt	pepper
cho mỗi	per
phần trăm	per
hoàn hảo	perfect
một cách hoàn hảo	perfectly
biểu diễn; làm, thực hiện	perform
sự làm, sự thực hiện, sự thi hành, sự biểu diễn	performance
người biểu diễn, người trình diễn	performer
có thể, có lẽ	perhaps
kỳ, thời kỳ, thời gian; thời đại	period
lâu dài, vĩnh cửu, thường xuyên	permanent
cách thường xuyên, vĩnh cửu	permanently
sự cho phép, giấy phép	permission
cho phép, cho cơ hội	permit
con người, người	person
cá nhân, tư, riêng tư	personal
đích thân, bản thân, về phần rôi, đối với tôi	personally
nhân cách, tính cách; nhân phẩm, cá tính	personality
thuyết phục	persuade
cơn nóng giận; vật cưng, người được yêu thích	pet
xăng dầu	petrol
tuần trăng; giai đoạn, thời kỳ	phase
triết học, triết lý	philosophy
bản sao chụp; sao chụp	photocopy
ảnh, bức ảnh; chụp ảnh	photograph
thợ chụp ảnh, nhà nhiếp ảnh	photographer
thuật chụp ảnh, nghề nhiếp ảnh	photography
câu; thành ngữ, cụm từ	phrase
vật chất; (thuộc) cơ thể, thân thể	physical
về thân thể, theo luật tự nhiên	physically
vật lý học	physics
đàn pianô, dương cầm	piano
cuốc (đất); đào, khoét (lỗ)	pick
bức vẽ, bức họa	picture
mảnh, mẩu; đồng tiền	piece
con lợn	pig
cọc, chồng, đống, pin; đóng cọc, chất chồng	pile
viên thuốc	pill
phi công	pilot
đinh ghim; ghim., kẹp	pin
màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo	pink
Panh (đơn vị (đo lường) ở Anh bằng 0, 58 lít; ở Mỹ bằng 0, 473 lít); panh, lít (bia, sữa) a pint of beer + một panh bia	pint
ống dẫn (khí, nước...)	pipe
sân (chơi các môn thể thao); đầu hắc ín	pitch
lòng thương hại, điều đáng tiếc, đáng thương	pity
nơi, địa điểm; quảng trường	place
ngay thẳng, đơn giản, chất phác	plain
bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến	plan
sự lập kế hoạch, sự quy hoạch	planning
mặt phẳng, mặt bằng	plane
hành tinh	planet
thực vật, sự mọc lên; trồng, gieo	plant
chất dẻo, làm bằng chất dẻo	plastic
bản, tấm kim loại	plate
nền, bục, bệ; thềm, sân ga	platform
chơi, đánh; sự vui chơi, trò chơi, trận đấu	play
người chơi 1 trò chơi nào đó (nhạc cụ)	player
vui vẻ, dễ thương; dịu dàng, thân mật	pleasant
vui vẻ, dễ thương; thân mật	pleasantly
không dễ chịu, khó chịu, khó ưa	unpleasant
làm vui lòng, vừa lòng, mong... vui lòng, xin mời	please
mang lại niềm vui thích; dễ chịu	pleasing
hài lòng	pleased
niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích	pleasure
nhiều (s.k.lượng); chỉ sự thừa; sự sung túc, sự p.phú	plenty
mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án	plot
nút (thùng, chậu, bồn...)	plug
cộng với (số, người...); dấu cộng; cộng, thêm vào	plus
